,movie_id,genre_id
0,335462,28
1,335462,10752
2,658009,28
3,658009,18
4,529962,27
5,529962,53
6,529962,18
7,314365,18
8,314365,36
9,11838,27
10,9669,27
11,9669,9648
12,9669,878
13,10398,53
14,1844,10749
15,1844,18
16,1844,9648
17,203833,18
18,425001,35
19,425001,10751
20,463116,16
21,463116,35
22,463116,12
23,463116,10751
24,400579,35
25,400579,18
26,575094,12
27,575094,14
28,575094,9648
29,351145,53
30,351145,18
31,11299,28
32,11299,16
33,11299,878
34,449924,28
35,449924,18
36,449924,36
37,384680,37
38,384680,18
39,384680,36
40,605116,28
41,605116,80
42,605116,878
43,228968,18
44,228968,28
45,228968,80
46,228968,53
47,228968,9648
48,482624,10749
49,482624,18
50,752623,28
51,752623,12
52,752623,35
53,752623,10749
54,335787,28
55,335787,12
56,414906,80
57,414906,9648
58,414906,53
59,453395,14
60,453395,28
61,453395,12
62,634649,28
63,634649,12
64,634649,878
65,628900,28
66,628900,53
67,526896,28
68,526896,878
69,526896,14
70,508947,16
71,508947,10751
72,508947,35
73,508947,14
74,406759,878
75,406759,12
76,406759,28
77,763285,28
78,763285,53
79,763285,80
80,284052,28
81,284052,12
82,284052,14
83,284052,878
84,568124,16
85,568124,35
86,568124,10751
87,568124,14
88,606402,28
89,338953,28
90,338953,12
91,338953,14
92,585083,16
93,585083,10751
94,585083,14
95,585083,35
96,585083,12
97,696806,28
98,696806,12
99,696806,35
100,696806,878
101,580489,878
102,580489,28
103,580489,12
104,635302,16
105,635302,28
106,635302,12
107,635302,14
108,823625,28
109,823625,53
110,438695,16
111,438695,35
112,438695,10751
113,438695,10402
114,524434,878
115,524434,28
116,524434,12
117,566525,28
118,566525,12
119,566525,14
120,566525,878
121,19995,28
122,19995,12
123,19995,14
124,19995,878
125,476669,28
126,476669,12
127,476669,53
128,476669,10752
129,476669,9648
130,459151,16
131,459151,35
132,459151,12
133,459151,10751
134,425909,14
135,425909,35
136,425909,12
137,1865,12
138,1865,28
139,1865,14
140,58,12
141,58,14
142,58,28
143,454626,28
144,454626,878
145,454626,35
146,454626,10751
147,624860,878
148,624860,28
149,624860,12
150,585245,10751
151,585245,12
152,585245,35
153,585245,14
154,299536,12
155,299536,28
156,299536,878
157,285,12
158,285,14
159,285,28
160,512195,28
161,512195,35
162,512195,80
163,512195,53
164,22,12
165,22,14
166,22,28
167,550988,35
168,550988,28
169,550988,12
170,550988,878
171,460465,28
172,460465,14
173,460465,12
174,337404,35
175,337404,80
176,337404,12
177,361743,28
178,361743,18
179,661231,10752
180,661231,36
181,661231,18
182,508943,16
183,508943,35
184,508943,10751
185,508943,14
186,166426,12
187,166426,28
188,166426,14
189,744275,10749
190,744275,18
191,379686,10751
192,379686,16
193,379686,35
194,379686,878
195,436969,28
196,436969,12
197,436969,14
198,597208,80
199,597208,18
200,597208,53
201,791373,28
202,791373,12
203,791373,14
204,791373,878
205,385128,28
206,385128,80
207,385128,53
208,385128,12
209,482321,16
210,482321,878
211,482321,10751
212,482321,35
213,810693,16
214,810693,28
215,810693,12
216,810693,9648
217,497698,28
218,497698,12
219,497698,878
220,299534,12
221,299534,878
222,299534,28
223,24428,878
224,24428,28
225,24428,12
226,522016,28
227,522016,53
228,532710,53
229,532710,14
230,532710,27
231,399566,28
232,399566,14
233,399566,878
234,597,18
235,597,10749
236,451048,28
237,451048,12
238,451048,14
239,438631,878
240,438631,12
241,423108,27
242,423108,9648
243,423108,53
244,259316,28
245,259316,12
246,259316,14
247,370172,12
248,370172,28
249,370172,53
250,751237,27
251,751237,9648
252,916740,53
253,916740,9648
254,916740,18
255,303857,28
256,303857,16
257,303857,878
258,522402,878
259,522402,18
260,522402,12
261,507086,12
262,507086,28
263,507086,878
264,507086,53
265,615904,10749
266,615904,35
267,615904,10402
268,198663,28
269,198663,9648
270,198663,878
271,198663,53
272,671,12
273,671,14
274,527774,16
275,527774,10751
276,527774,14
277,527774,28
278,527774,12
279,14836,16
280,14836,10751
281,14836,14
282,270303,27
283,270303,9648
284,505026,80
285,505026,18
286,505026,9648
287,505026,53
288,639721,16
289,639721,12
290,639721,35
291,639721,10751
292,50014,18
293,1930,28
294,1930,12
295,1930,14
296,338952,28
297,338952,12
298,338952,14
299,588228,28
300,588228,878
301,588228,12
302,514847,28
303,514847,53
304,514847,27
305,99861,28
306,99861,12
307,99861,878
308,862,16
309,862,12
310,862,10751
311,862,35
312,615457,28
313,615457,80
314,615457,53
315,631843,53
316,631843,9648
317,631843,27
318,354912,10751
319,354912,16
320,354912,14
321,354912,10402
322,354912,35
323,354912,12
324,523936,27
325,523936,878
326,523936,18
327,523936,53
328,672,12
329,672,14
330,756403,16
331,756403,14
332,756403,10402
333,756403,12
334,756403,35
335,756403,10751
336,324786,18
337,324786,36
338,324786,10752
339,482373,53
340,482373,27
341,293660,28
342,293660,12
343,293660,35
344,745881,27
345,745881,53
346,673,12
347,673,14
348,674,12
349,674,14
350,674,10751
351,585,16
352,585,35
353,585,10751
354,12445,14
355,12445,12
356,118,12
357,118,35
358,118,10751
359,118,14
360,617653,28
361,617653,18
362,617653,36
363,106646,80
364,106646,18
365,106646,35
366,568620,28
367,568620,12
368,765119,35
369,767,12
370,767,14
371,315635,28
372,315635,12
373,315635,878
374,315635,18
375,271110,12
376,271110,28
377,271110,878
378,10138,12
379,10138,28
380,10138,878
381,610253,27
382,610253,53
383,587807,35
384,587807,10751
385,587807,16
386,13811,28
387,13811,9648
388,13811,878
389,13811,53
390,12444,12
391,12444,14
392,464052,28
393,464052,12
394,464052,14
395,675,12
396,675,14
397,675,9648
398,372058,10749
399,372058,16
400,372058,18
401,602223,27
402,602223,28
403,602223,53
404,474350,27
405,474350,14
406,214756,35
407,8587,10751
408,8587,16
409,8587,18
410,126963,16
411,126963,28
412,126963,878
413,520763,878
414,520763,53
415,520763,27
416,763164,28
417,763164,53
418,763164,878
419,808,16
420,808,35
421,808,14
422,808,12
423,808,10751
424,821427,18
425,821427,53
426,458576,28
427,458576,14
428,458576,12
429,177572,12
430,177572,10751
431,177572,16
432,177572,28
433,177572,35
434,537915,10749
435,537915,18
436,591120,28
437,591120,12
438,591120,35
439,591120,36
440,429617,28
441,429617,12
442,429617,878
443,24021,12
444,24021,14
445,24021,18
446,24021,10749
447,335983,878
448,335983,28
449,44918,28
450,44918,12
451,44918,53
452,135397,28
453,135397,12
454,135397,878
455,135397,53
456,571265,16
457,571265,28
458,571265,53
459,571265,12
460,571265,14
461,511809,18
462,511809,10749
463,511809,80
464,539885,28
465,539885,80
466,539885,18
467,539885,53
468,425,16
469,425,35
470,425,10751
471,425,12
472,32657,12
473,32657,14
474,32657,10751
475,508442,16
476,508442,35
477,508442,14
478,508442,10751
479,10195,12
480,10195,14
481,10195,28
482,571891,16
483,571891,12
484,571891,14
485,571891,28
486,571891,10751
487,744,28
488,744,18
489,744,12
490,2062,16
491,2062,35
492,2062,10751
493,2062,14
494,284053,28
495,284053,12
496,284053,14
497,284053,878
498,123553,14
499,123553,28
500,123553,9648
501,809,16
502,809,10751
503,809,35
504,809,14
505,809,12
506,531219,10751
507,531219,14
508,531219,12
509,531219,35
510,531219,27
511,863,16
512,863,35
513,863,10751
514,122917,28
515,122917,12
516,122917,14
517,706972,28
518,706972,18
519,706972,80
520,337339,28
521,337339,80
522,337339,53
523,228150,10752
524,228150,18
525,228150,28
526,10144,16
527,10144,10751
528,10144,14
529,631132,16
530,631132,12
531,631132,28
532,631132,14
